2195410 total number of matches in the dataset

# Aatrox
                  win%   matches
    Braum        52.50%   5838
    Sivir        52.44%   6363
    XinZhao      52.43%   3130
    Fizz         52.40%   2599
    Viktor       52.40%   3756
    Velkoz       52.37%   3855
    Brand        52.36%   5128
    Galio        52.36%   4557
    Poppy        52.34%   4360
    Samira       52.30%   6361
    Garen        52.27%   9531
    Evelynn      52.22%   1038
    Trundle      52.19%   5900
    Rakan        52.17%   4018
    Leona        52.16%   8458
    Urgot        52.16%   3930
    KogMaw       52.16%   2314
    Lulu         52.08%  10316
    Kayn         52.08%   5434
    MasterYi     52.06%   4195
    Karthus      52.06%    826
    Shen         52.05%   6112
    MonkeyKing   52.01%   3436
    Malphite     51.99%   9149
    Talon        51.86%   3450
    Karma        51.85%   7180
    Ornn         51.84%   3717
    Shaco        51.84%   5681
    Kindred      51.72%   1572
    Malzahar     51.68%   4590
    Graves       51.67%   3530
    Lissandra    51.66%   1562
    TahmKench    51.64%   6172
    Volibear     51.60%   6541
    DrMundo      51.60%   7450
    Fiddlesticks 51.58%   2148
    Jhin         51.52%  20201
    Lux          51.50%  16611
    Sejuani      51.50%   1635
    Renekton     51.48%   6511
    Cassiopeia   51.48%   1317
    AurelionSol  51.48%   1661
    Hecarim      51.44%   1493
    Renata       51.41%   1346
    Riven        51.40%   4208
    JarvanIV     51.40%   3331
    Khazix       51.38%   3180
    Morgana      51.36%   8655
    Anivia       51.34%   1379
    Swain        51.29%   5872
    Irelia       51.29%   6931
    Rell         51.25%   4349
    Xerath       51.23%   6654
    Yasuo        51.22%  23119
    Sion         51.22%   5611
    Gangplank    51.21%   3790
    Kennen       51.19%   1983
    Darius       51.18%  10885
    Zoe          51.16%   1941
    Aatrox       51.14%   9672
    Aphelios     51.13%   5040
    Diana        51.13%  222442
    Thresh       51.11%  12527
    Vladimir     51.08%   3299
    Smolder      51.05%  10164
    Ahri         51.00%   5010
    Nasus        50.97%   6431
    Zac          50.97%   2370
    Akshan       50.88%   2331
    Ryze         50.85%   1884
    Xayah        50.74%   5010
    Caitlyn      50.68%  21884
    Maokai       50.65%   3621
    Twitch       50.65%   5475
    Ziggs        50.63%   2230
    RekSai       50.62%    480
    Bard         50.62%   2902
    Veigar       50.61%   4580
    Seraphine    50.60%   5615
    Kled         50.56%   1709
    Olaf         50.46%   1837
    Tryndamere   50.45%   4117
    Nunu         50.45%   1348
    Chogath      50.40%   5688
    Vi           50.39%   3046
    Jax          50.38%   7945
    Kaisa        50.36%  16660
    Ashe         50.30%  12327
    Lucian       50.27%  11664
    Senna        50.27%   9940
    Pantheon     50.26%  10515
    Qiyana       50.22%   2001
    Sylas        50.19%   6850
    Aurora       50.13%   2332
    Lillia       50.09%   1705
    Leblanc      50.06%   3256
    Viego        50.04%   6081
    Jayce        49.97%   5417
    Camille      49.92%   3171
    Ekko         49.90%   3575
    Nautilus     49.89%  10889
    Nidalee      49.84%   1589
    Belveth      49.83%    873
    LeeSin       49.81%   6958
    Zeri         49.81%   3401
    Neeko        49.80%   3462
    Gragas       49.79%   2876
    Syndra       49.78%   2445
    Elise        49.75%   1793
    Blitzcrank   49.75%   6471
    Hwei         49.74%   3231
    Rammus       49.62%   1314
    Tristana     49.55%   9159
    Pyke         49.50%   7652
    Alistar      49.50%   4616
    Gnar         49.47%   3554
    Yuumi        49.45%   6232
    Ezreal       49.45%  17615
    Annie        49.40%   1844
    TwistedFate  49.33%   2777
    Zed          49.06%   9884
    Draven       49.01%   4313
    Mel          48.99%   7892
    Corki        48.96%   2925
    Yone         48.89%  14324
    Varus        48.76%   7355
    Rengar       48.67%   1352
    Kassadin     48.66%    894
    Katarina     48.52%   3135
    Akali        48.51%   4917
    Udyr         48.44%   1639
    Yunara       48.32%   3427
    Ambessa      48.26%   4223
    Gwen         47.90%   3142
    KSante       47.75%   3816
    Orianna      47.46%   2187
    Kalista      47.34%   1770
    Ivern        47.06%    646
    Taliyah      46.83%    995
    Rumble       46.75%   1523
    Skarner      46.65%    761
    Azir         44.14%   1330


# Draven
                  win%   matches
    Aphelios     54.81%    104
    Amumu        52.29%   2360
    Janna        52.11%   1612
    Anivia       52.00%    875
    Shyvana      51.90%   1000
    Malzahar     51.70%   3006
    Xayah        51.65%     91
    Singed       51.50%    800
    Renata       51.42%    704
    Mordekaiser  51.10%   3620
    Nasus        51.07%   2385
    Nami         51.03%   3625
    Xerath       50.96%   2606
    Zoe          50.95%   1211
    Fiddlesticks 50.87%   1496
    Illaoi       50.78%   1412
    Yorick       50.74%   2424
    Vladimir     50.71%   2246
    Sona         50.61%    818
    Nocturne     50.53%   3232
    Trundle      50.50%   2321
    XinZhao      50.49%   2022
    Nunu         50.49%   1339
    Thresh       50.44%   6808
    Zilean       50.42%    825
    Ekko         50.31%   3268
    Riven        50.30%   1497
    Lissandra    50.17%   1150
    Vex          50.10%   1429
    Aurora       50.10%   1573
    KogMaw       50.00%    120
    Nilah        50.00%     54
    Ziggs        49.92%    659
    Renekton     49.79%   2171
    Teemo        49.79%   3053
    Shen         49.78%   2232
    Swain        49.70%   2316
    Kassadin     49.65%    707
    Garen        49.64%   3217
    Elise        49.59%   1456
    Sett         49.59%   3622
    Taric        49.58%    589
    Leblanc      49.57%   2334
    Cassiopeia   49.55%    783
    Syndra       49.46%   1864
    Viktor       49.44%   2601
    DrMundo      49.39%   2723
    Ambessa      49.39%   1472
    Chogath      49.38%   2250
    Evelynn      49.33%   1119
    Warwick      49.31%   3721
    Annie        49.29%   1189
    Lux          49.23%   5996
    Rammus       49.21%    949
    Seraphine    49.15%   1534
    Braum        49.10%   1495
    Blitzcrank   49.03%   3355
    Diana        49.01%   4313
    Kennen       49.01%   1010
    Quinn        48.99%    894
    Kayle        48.99%   1982
    Zyra         48.96%   1879
    Brand        48.95%   2329
    Velkoz       48.94%   1516
    Galio        48.91%   2294
    Volibear     48.90%   3575
    Maokai       48.88%   1518
    Heimerdinger 48.82%   1016
    Alistar      48.81%   1678
    Briar        48.75%   1795
    Bard         48.73%    827
    Ahri         48.68%   3907
    Ryze         48.68%   1323
    Taliyah      48.67%    941
    Hwei         48.65%   1965
    Lillia       48.64%   1951
    Camille      48.61%   1263
    Orianna      48.61%   1578
    RekSai       48.60%    393
    Morgana      48.59%   2912
    Ornn         48.57%   1297
    Zac          48.52%   1591
    Draven       48.44%  80051
    Vi           48.41%   2268
    Hecarim      48.41%   1353
    Poppy        48.38%   1637
    Malphite     48.34%   3279
    Ivern        48.31%    474
    Karma        48.29%   2346
    Leona        48.29%   3856
    Kayn         48.27%   3986
    Olaf         48.26%    688
    Sion         48.25%   1948
    Graves       48.25%   2773
    MonkeyKing   48.13%   1903
    Pantheon     48.12%   4339
    Akali        48.10%   3509
    Gwen         48.10%   2002
    Kled         48.09%    603
    Pyke         48.09%   4059
    Aatrox       48.04%   3185
    Fiora        48.03%   1293
    TahmKench    47.92%   2070
    JarvanIV     47.82%   2409
    Veigar       47.82%   2614
    Gangplank    47.81%   1326
    Rell         47.78%   1666
    Lulu         47.77%   2893
    Shaco        47.75%   3307
    Katarina     47.71%   2400
    Twitch       47.70%    413
    Milio        47.66%   1752
    MasterYi     47.65%   3016
    Jayce        47.59%   1843
    Nautilus     47.56%   5246
    Yunara       47.50%    120
    Akshan       47.41%    793
    Soraka       47.39%   1895
    Tryndamere   47.36%   1533
    Neeko        47.35%   1322
    Darius       47.31%   3906
    AurelionSol  47.29%   1142
    Yasuo        47.28%   5082
    Viego        47.19%   4592
    Karthus      47.19%    782
    Udyr         47.18%   1172
    Skarner      47.00%    600
    Jinx         46.93%    375
    Senna        46.92%   1658
    Rakan        46.90%   1079
    TwistedFate  46.86%   1799
    Gragas       46.85%   1936
    Jax          46.83%   3032
    Naafiri      46.83%   1766
    Fizz         46.82%   1937
    Urgot        46.82%   1241
    Irelia       46.79%   2411
    Sylas        46.75%   4738
    Khazix       46.62%   2548
    Belveth      46.54%    709
    LeeSin       46.48%   5123
    KSante       46.47%   1231
    Zeri         46.40%    125
    Azir         46.31%   1071
    Talon        46.27%   1690
    Caitlyn      46.24%    625
    Rengar       46.22%   1019
    Kindred      46.21%   1162
    Mel          45.98%   3086
    Yone         45.97%   4642
    Rumble       45.94%    923
    Zed          45.86%   4276
    Corki        45.80%    369
    Gnar         45.70%   1164
    Varus        45.70%    558
    Jhin         45.56%    518
    Vayne        45.35%    838
    Qiyana       45.34%    783
    MissFortune  45.02%    522
    Kalista      45.00%    100
    Nidalee      44.76%   1403
    Yuumi        44.68%   1853
    Samira       44.37%    151
    Sejuani      44.26%   1238
    Ashe         43.60%    656
    Lucian       43.54%    333
    Tristana     43.26%    527
    Kaisa        42.72%    529
    Smolder      42.56%   1135
    Ezreal       42.26%    627
    Sivir        41.38%    116


# DrMundo
                  win%   matches
    Yorick       55.80%   1484
    Rammus       55.30%   1367
    Zyra         55.19%   4187
    Shyvana      54.44%   1499
    Teemo        54.22%   3598
    Riven        54.03%    670
    Kennen       54.00%    924
    Malzahar     53.98%   5989
    Mordekaiser  53.90%   1937
    Annie        53.86%   2343
    Lissandra    53.82%   2092
    Morgana      53.81%   6709
    Brand        53.79%   4618
    Velkoz       53.77%   3718
    Fiora        53.70%    540
    Kayle        53.69%   1544
    Taric        53.67%    900
    Briar        53.66%   3105
    Quinn        53.65%    932
    Veigar       53.59%   5902
    Warwick      53.55%   5570
    Vex          53.52%   3068
    KogMaw       53.50%   1759
    Rumble       53.45%    608
    Sivir        53.41%   4578
    Illaoi       53.26%    582
    Trundle      53.25%   3243
    Urgot        53.25%    631
    MonkeyKing   53.23%   2540
    Ekko         53.07%   5773
    Xerath       53.07%   6247
    Singed       52.99%    485
    Bard         52.94%   2074
    Renekton     52.89%   1019
    Volibear     52.86%   4033
    Nilah        52.79%   1648
    Ziggs        52.75%   2197
    Nocturne     52.68%   5742
    AurelionSol  52.66%   2332
    Twitch       52.55%   4032
    Lillia       52.55%   2885
    Heimerdinger 52.53%   1323
    Swain        52.48%   4331
    Sett         52.44%   1945
    Ivern        52.33%    686
    MissFortune  52.30%  11815
    Kayn         52.29%   6668
    Karthus      52.24%   1340
    Pantheon     52.23%   6705
    Lulu         52.19%   6196
    Aurora       52.19%   2598
    Kassadin     52.12%   1224
    Amumu        52.08%   3443
    Chogath      52.01%   1744
    Seraphine    52.00%   4360
    JarvanIV     51.99%   3624
    Leona        51.99%   5088
    Fizz         51.98%   3594
    Shaco        51.97%   5894
    Shen         51.95%   1511
    Sona         51.92%   2211
    Zoe          51.87%   2518
    Vayne        51.87%   6108
    Renata       51.83%    903
    Jhin         51.82%  13374
    Syndra       51.79%   3408
    Hwei         51.78%   3982
    Milio        51.71%   3910
    Xayah        51.69%   3426
    Rell         51.68%   2467
    Lux          51.66%  14438
    Leblanc      51.62%   4012
    Diana        51.60%   7450
    Nami         51.59%   6509
    Jax          51.55%   2514
    Ornn         51.53%    458
    Nasus        51.51%   1460
    Khazix       51.49%   4150
    MasterYi     51.48%   5392
    Jinx         51.45%  12481
    Smolder      51.45%   6933
    Anivia       51.37%   1610
    Caitlyn      51.33%  14205
    Aphelios     51.30%   3702
    Ahri         51.24%   7285
    Evelynn      51.24%   1817
    Rakan        51.23%   2430
    DrMundo      51.21%  149924
    Pyke         51.19%   4692
    Viktor       51.13%   4559
    Sion         51.10%   1223
    Maokai       51.09%   1738
    Ashe         51.09%   8152
    Braum        51.08%   3469
    Zilean       51.08%   1760
    Akshan       51.04%   1734
    Naafiri      50.91%   3141
    Samira       50.90%   4177
    Garen        50.89%   1635
    Darius       50.82%   2023
    Janna        50.80%   1874
    Fiddlesticks 50.79%   2473
    KSante       50.77%    390
    Elise        50.76%   1984
    Soraka       50.75%   3216
    Graves       50.72%   4276
    Senna        50.68%   7247
    Galio        50.68%   3587
    Vladimir     50.61%   2847
    Nunu         50.59%   2022
    Akali        50.59%   5883
    Zac          50.51%   1861
    Malphite     50.49%   2981
    Gwen         50.44%   1491
    Poppy        50.39%   2310
    TahmKench    50.32%   2679
    Tristana     50.26%   6309
    Mel          50.26%   7840
    Yasuo        50.23%   8337
    Olaf         50.22%    460
    Thresh       50.09%   7113
    Viego        49.99%   7080
    Zed          49.98%   7581
    Nautilus     49.87%   6164
    TwistedFate  49.86%   3466
    Neeko        49.85%   2933
    Karma        49.81%   4587
    Lucian       49.78%   7383
    Gangplank    49.77%    653
    Kled         49.69%    326
    XinZhao      49.68%   3327
    Irelia       49.61%   2536
    Yone         49.60%   6311
    Blitzcrank   49.56%   3967
    Jayce        49.53%   1054
    Tryndamere   49.50%    994
    Aatrox       49.44%   1078
    Kaisa        49.44%  10896
    Sylas        49.42%   7683
    Draven       49.39%   2723
    Ezreal       49.35%  10547
    Katarina     49.33%   4206
    Zeri         49.29%   2319
    Yunara       49.22%   2700
    Vi           49.16%   3460
    Corki        49.14%   1809
    Kalista      49.14%    926
    Taliyah      49.11%   1517
    Varus        49.08%   4762
    Gragas       49.06%   1596
    Camille      49.05%    524
    Alistar      49.01%   2567
    Udyr         48.99%   1641
    RekSai       48.98%    492
    Hecarim      48.90%   1916
    Sejuani      48.83%   1370
    Kindred      48.74%   2107
    Ryze         48.73%   2087
    Orianna      48.72%   2783
    Gnar         48.68%    456
    Belveth      48.62%   1127
    Talon        48.44%   2783
    Yuumi        48.20%   4137
    Ambessa      48.19%    886
    Qiyana       47.85%   1536
    Cassiopeia   47.71%   1203
    Nidalee      47.71%   2073
    LeeSin       47.29%   7478
    Azir         46.63%   1945
    Skarner      45.95%    605
    Rengar       44.10%   1567


# Ekko
                  win%   matches
    Nilah        55.21%   1688
    Taric        54.98%   1115
    Sett         54.27%   9189
    KogMaw       54.07%   1829
    Quinn        53.22%   2052
    Yorick       53.13%   5334
    DrMundo      53.07%   5773
    Sona         52.97%   2254
    Milio        52.83%   4221
    JarvanIV     52.83%   2544
    MasterYi     52.81%   3596
    Nocturne     52.46%   3635
    Sivir        52.45%   4869
    Viego        52.39%   4631
    Briar        52.34%   2113
    Malzahar     52.25%   3380
    Shyvana      52.24%    915
    Naafiri      52.17%   2739
    Fiddlesticks 52.14%   1611
    Kled         52.08%   1319
    Nami         52.07%   6971
    Morgana      52.07%   6347
    Poppy        52.04%   3424
    Amumu        52.04%   2229
    RekSai       51.99%    427
    Nasus        51.98%   4773
    Twitch       51.89%   3951
    Trundle      51.83%   4387
    Warwick      51.81%   5235
    Urgot        51.68%   2941
    Velkoz       51.61%   2920
    Lissandra    51.53%   1275
    Teemo        51.51%   5589
    Zyra         51.46%   3562
    XinZhao      51.43%   2487
    Swain        51.43%   4245
    Maokai       51.35%   2635
    Singed       51.34%   1414
    Khazix       51.33%   2667
    Galio        51.30%   3343
    Kennen       51.27%   1340
    Renekton     51.24%   5246
    Janna        51.18%   2118
    Gangplank    51.12%   3046
    TahmKench    51.09%   4631
    Vayne        51.06%   7718
    Volibear     51.06%   5237
    Jinx         51.03%  14293
    MissFortune  51.00%  12648
    Xerath       50.99%   4732
    Lulu         50.97%   7648
    MonkeyKing   50.94%   2548
    Brand        50.94%   3771
    Fiora        50.91%   3127
    Aphelios     50.90%   4010
    Lillia       50.89%   1352
    Braum        50.89%   4740
    Pantheon     50.80%   8213
    Garen        50.80%   7040
    Zeri         50.71%   2660
    Shen         50.71%   4796
    Kayle        50.70%   3142
    Ornn         50.70%   2872
    Tryndamere   50.69%   3113
    Akshan       50.67%   1867
    Sion         50.67%   4510
    Illaoi       50.66%   3160
    Chogath      50.65%   4182
    Zilean       50.65%   1704
    Soraka       50.63%   3393
    Xayah        50.60%   3994
    Kayn         50.58%   4492
    Viktor       50.57%   2713
    Belveth      50.55%    722
    Sejuani      50.53%   1314
    Fizz         50.50%   1893
    Jhin         50.48%  15617
    Aatrox       50.46%   7439
    Zac          50.46%   1851
    Lucian       50.43%   9355
    Yuumi        50.42%   4603
    Irelia       50.42%   5442
    Rell         50.35%   3112
    Yasuo        50.31%   9864
    Senna        50.31%   7969
    Draven       50.31%   3268
    Ekko         50.26%  168740
    Camille      50.24%   2540
    Ryze         50.23%   1525
    Heimerdinger 50.16%   1836
    Zoe          50.12%   1656
    Talon        50.02%   2845
    Mordekaiser  50.02%   5870
    Lux          50.00%  12415
    Ashe         49.99%   9474
    Thresh       49.97%   9280
    Olaf         49.94%   1558
    Nautilus     49.93%   8227
    Diana        49.90%   3575
    Leona        49.89%   6250
    Riven        49.85%   3310
    Vex          49.85%   1651
    Shaco        49.84%   4378
    Blitzcrank   49.81%   5071
    Ivern        49.81%    520
    Tristana     49.81%   7212
    TwistedFate  49.80%   2496
    Veigar       49.79%   3340
    Kindred      49.74%   1359
    AurelionSol  49.72%   1237
    Smolder      49.70%   8108
    Nunu         49.70%   1155
    Kassadin     49.70%    656
    Rumble       49.66%   1176
    Hecarim      49.64%   1247
    Renata       49.62%   1046
    Caitlyn      49.59%  16001
    Malphite     49.58%   6621
    Seraphine    49.57%   4186
    Elise        49.56%   1358
    Anivia       49.55%   1104
    Jax          49.54%   5890
    Alistar      49.46%   3589
    Katarina     49.37%   2396
    Sylas        49.27%   5464
    Leblanc      49.25%   2536
    Samira       49.23%   4794
    Karma        49.19%   5316
    Darius       49.18%   8334
    Corki        49.14%   2157
    Graves       49.13%   3059
    Bard         49.11%   2293
    Jayce        49.10%   4399
    Zed          49.07%   8151
    Cassiopeia   49.06%    905
    Vi           48.99%   2376
    Neeko        48.87%   2613
    Ahri         48.78%   3827
    Gragas       48.73%   2286
    Qiyana       48.70%   1651
    Kaisa        48.65%  12651
    Yone         48.55%  11004
    Evelynn      48.54%    824
    Rengar       48.27%   1125
    Pyke         48.24%   5922
    Akali        48.24%   3856
    Vladimir     48.23%   2521
    Ziggs        48.23%   1528
    Annie        48.19%   1465
    Nidalee      48.16%   1250
    Taliyah      48.10%    842
    KSante       48.07%   2973
    Ezreal       47.96%  13545
    Karthus      47.91%    647
    Rakan        47.86%   3153
    Syndra       47.74%   1902
    Hwei         47.72%   2395
    Varus        47.72%   5748
    Aurora       47.51%   1747
    Skarner      47.50%    661
    Ambessa      47.41%   3301
    Yunara       47.36%   2629
    Azir         47.26%   1132
    Gwen         47.23%   2401
    Gnar         47.12%   2721
    LeeSin       47.10%   5507
    Rammus       46.94%   1127
    Mel          46.86%   5657
    Orianna      46.70%   1589
    Kalista      45.92%   1311
    Udyr         45.74%   1373


# Elise
                  win%   matches
    Kled         54.55%    572
    Belveth      54.17%    240
    Zyra         54.02%   1007
    Kindred      53.81%    472
    Sett         53.76%   3216
    Taric        53.70%    311
    Nocturne     53.68%   1170
    JarvanIV     53.65%    822
    KogMaw       53.50%    671
    Nilah        53.34%    628
    Poppy        52.77%   1211
    Vex          52.55%   1119
    Lillia       52.51%    478
    Fiddlesticks 52.38%    546
    Nasus        52.36%   1671
    Cassiopeia   52.32%    625
    Quinn        52.25%    865
    Kayle        52.23%   1187
    Briar        52.21%    611
    Taliyah      52.09%    647
    Garen        52.02%   2772
    Jinx         52.02%   5425
    Graves       51.99%   1108
    Zilean       51.98%    531
    Warwick      51.93%   1558
    Talon        51.83%   1750
    Morgana      51.82%   1569
    Yorick       51.81%   1851
    Viktor       51.79%   2288
    MissFortune  51.76%   4666
    Zeri         51.58%   1045
    Viego        51.51%   1883
    Aatrox       51.49%   3432
    Anivia       51.48%    744
    Hwei         51.46%   1543
    Leona        51.39%   1829
    Lissandra    51.36%    880
    Xayah        51.35%   1595
    Sivir        51.29%   1936
    MonkeyKing   51.29%    969
    Olaf         51.28%    585
    Braum        51.22%   1470
    Naafiri      51.13%   1234
    Seraphine    51.12%   1070
    Nami         51.12%   2105
    Urgot        51.08%   1106
    Nidalee      51.08%    603
    Mordekaiser  51.04%   2073
    Shyvana      50.96%    261
    Jax          50.93%   2366
    Riven        50.82%   1460
    Janna        50.77%    652
    DrMundo      50.76%   1984
    Ahri         50.68%   2942
    Tryndamere   50.68%   1257
    Gangplank    50.60%   1583
    Brand        50.56%   1064
    Pantheon     50.55%   2995
    Khazix       50.52%    764
    Leblanc      50.52%   1726
    Zed          50.49%   4411
    Gragas       50.43%   1037
    Velkoz       50.40%   1000
    Camille      50.39%   1149
    Darius       50.35%   3160
    Sion         50.34%   1911
    Fiora        50.34%   1343
    Sylas        50.33%   3763
    RekSai       50.33%    153
    Akshan       50.32%   1105
    Blitzcrank   50.27%   1500
    Vayne        50.24%   2751
    Xerath       50.23%   2198
    Milio        50.21%   1207
    Renata       50.15%    331
    Senna        50.14%   2547
    Akali        50.14%   2571
    Lucian       50.12%   4012
    Gnar         50.12%   1261
    XinZhao      50.05%   1017
    Syndra       50.04%   1353
    Trundle      50.04%   1371
    Gwen         50.00%   1024
    Orianna      50.00%   1284
    Renekton     50.00%   2570
    Elise        50.00%  69270
    Irelia       49.97%   2914
    Galio        49.93%   2067
    Corki        49.83%   1449
    Yasuo        49.82%   5084
    Kassadin     49.81%    520
    Thresh       49.79%   2926
    Maokai       49.78%    914
    Lulu         49.78%   2491
    Diana        49.75%   1793
    Jhin         49.69%   6639
    Amumu        49.68%    622
    Twitch       49.65%   1442
    Samira       49.61%   1782
    Malphite     49.61%   2409
    Draven       49.59%   1456
    TwistedFate  49.58%   1670
    Veigar       49.58%   1541
    Ambessa      49.58%   1654
    Vladimir     49.56%   1487
    Ekko         49.56%   1358
    Ryze         49.55%   1100
    Swain        49.52%   1464
    Jayce        49.48%   2411
    Bard         49.40%    662
    Tristana     49.38%   3048
    AurelionSol  49.37%    794
    Rakan        49.37%    946
    Rammus       49.33%    300
    Chogath      49.32%   1614
    Neeko        49.30%    781
    Katarina     49.27%   1654
    Teemo        49.21%   1839
    Ivern        49.21%    189
    Shen         49.16%   1796
    Yunara       49.15%    765
    Fizz         49.14%   1219
    Yone         49.12%   5845
    Alistar      49.11%   1128
    Volibear     49.11%   1684
    Karma        49.10%   1774
    TahmKench    49.09%   1428
    Malzahar     49.06%   2138
    Kaisa        49.05%   5664
    Ezreal       49.00%   6521
    Nunu         48.88%    403
    Caitlyn      48.85%   6741
    Kennen       48.83%    684
    Lux          48.78%   3774
    Soraka       48.78%    980
    LeeSin       48.73%   2510
    Zoe          48.67%   1017
    Annie        48.63%    839
    Ashe         48.61%   3621
    Shaco        48.56%   1219
    Varus        48.56%   2702
    Aphelios     48.52%   1585
    Qiyana       48.49%   1029
    Nautilus     48.49%   2384
    Sona         48.47%    619
    Rell         48.42%   1014
    Ornn         48.39%   1178
    Pyke         48.29%   1698
    Udyr         48.24%    398
    Illaoi       48.24%   1078
    Singed       48.09%    603
    Kayn         47.99%   1196
    Smolder      47.94%   3158
    Ziggs        47.82%    665
    Skarner      47.81%    251
    Zac          47.78%    835
    Aurora       47.45%   1237
    Yuumi        47.32%   1289
    Karthus      47.20%    250
    Vi           47.19%    960
    Kalista      47.03%    674
    Sejuani      46.91%    437
    KSante       46.85%   1554
    Mel          46.61%   2555
    Heimerdinger 46.52%    690
    Azir         46.49%    869
    Hecarim      46.19%    472
    MasterYi     45.87%    992
    Evelynn      45.63%    263
    Rengar       42.13%    375
    Rumble       42.05%    528


# Evelynn
                  win%   matches
    Amumu        55.62%    178
    Nilah        55.20%    558
    Lillia       54.72%     53
    RekSai       54.55%     33
    Graves       54.30%    151
    KogMaw       53.99%    576
    Ornn         53.56%    941
    Malzahar     52.88%   1825
    Sion         52.69%   1541
    Kled         52.63%    456
    Nocturne     52.60%    154
    Sivir        52.47%   1576
    Nasus        52.23%   1616
    Diana        52.22%   1038
    Skarner      52.17%     69
    XinZhao      51.87%    187
    AurelionSol  51.81%    691
    Milio        51.80%   1359
    Xayah        51.59%   1324
    Olaf         51.52%    493
    Tryndamere   51.51%    996
    Singed       51.42%    424
    Sett         51.25%   3011
    DrMundo      51.24%   1817
    Talon        51.19%    881
    Yorick       51.18%   1692
    Viktor       51.05%   1289
    Zilean       51.05%    621
    Naafiri      51.04%    770
    Taric        51.03%    388
    Maokai       50.93%    860
    Nami         50.85%   2171
    Chogath      50.75%   1462
    Karma        50.73%   1713
    Trundle      50.61%   1065
    Samira       50.60%   1579
    Smolder      50.55%   2619
    Urgot        50.53%   1031
    MissFortune  50.47%   4117
    Velkoz       50.47%   1068
    Kassadin     50.38%    399
    Thresh       50.35%   2961
    Soraka       50.35%   1136
    JarvanIV     50.26%    193
    Janna        50.26%    782
    Brand        50.12%   1273
    Gangplank    50.00%    968
    Heimerdinger 50.00%    652
    Senna        49.92%   2544
    Mordekaiser  49.89%   1758
    Aatrox       49.79%   2368
    Lulu         49.75%   2384
    Blitzcrank   49.73%   1673
    Sona         49.73%    732
    Braum        49.70%   1503
    Akali        49.69%   1948
    Rell         49.69%    972
    Zeri         49.64%    832
    Quinn        49.59%    728
    Alistar      49.57%   1158
    Swain        49.52%   1567
    Zyra         49.42%   1129
    Lucian       49.42%   2948
    Qiyana       49.41%    765
    Galio        49.38%   1602
    Darius       49.37%   2532
    Yasuo        49.36%   4455
    Anivia       49.34%    533
    Draven       49.33%   1119
    TahmKench    49.32%   1543
    Jinx         49.27%   4581
    Xerath       49.26%   1821
    Rakan        49.23%    979
    Tristana     49.21%   2390
    Poppy        49.17%    962
    Cassiopeia   49.10%    442
    Irelia       49.04%   2284
    Aphelios     49.03%   1289
    Morgana      49.03%   2001
    Garen        49.02%   2393
    Malphite     48.99%   2182
    Evelynn      48.97%  54007
    Fiora        48.96%   1005
    Pyke         48.91%   1830
    Renekton     48.86%   1715
    Lux          48.75%   4457
    Twitch       48.74%   1344
    Nautilus     48.73%   2604
    Fizz         48.72%   1092
    Kennen       48.70%    460
    Renata       48.68%    380
    Illaoi       48.65%   1001
    Shaco        48.62%    687
    Shyvana      48.61%     72
    Camille      48.59%    782
    Kayle        48.58%   1060
    Ekko         48.54%    824
    Yuumi        48.54%   1574
    Jax          48.54%   1605
    Vayne        48.46%   2536
    Zoe          48.37%    798
    Zed          48.37%   3035
    Jhin         48.34%   4936
    Neeko        48.28%    870
    Teemo        48.26%   1662
    Orianna      48.23%    846
    Zac          48.22%    338
    Yone         48.17%   4733
    Warwick      48.14%    808
    Bard         48.07%    753
    Ashe         48.02%   3132
    Riven        47.99%   1069
    Akshan       47.98%    965
    Gnar         47.94%    849
    Ahri         47.94%   2134
    Fiddlesticks 47.90%    286
    Ryze         47.87%    704
    Ezreal       47.64%   4347
    Caitlyn      47.60%   5260
    Volibear     47.59%   1139
    Vladimir     47.57%   1171
    Pantheon     47.56%   2353
    Seraphine    47.47%   1403
    Ambessa      47.45%   1039
    Taliyah      47.44%    371
    LeeSin       47.35%    321
    Syndra       47.34%    978
    Sylas        47.31%   2439
    Yunara       47.19%    943
    Jayce        47.18%   1418
    Leona        47.16%   2116
    Ziggs        47.03%    640
    Katarina     47.03%   1397
    Annie        46.99%    664
    Veigar       46.92%   1654
    Corki        46.86%    845
    Leblanc      46.82%   1196
    MonkeyKing   46.67%    375
    Kaisa        46.65%   3880
    TwistedFate  46.59%   1157
    Lissandra    46.46%    693
    Gragas       46.46%    635
    Mel          46.29%   2348
    Hwei         46.25%   1161
    Shen         46.19%   1587
    Vex          46.16%    925
    Kayn         46.12%    219
    Azir         45.97%    596
    Aurora       45.91%    795
    Elise        45.63%    263
    Nunu         45.56%     90
    Hecarim      45.45%     33
    Briar        45.29%    170
    MasterYi     45.26%    190
    Kalista      45.24%    420
    Varus        45.23%   1822
    Belveth      45.16%     31
    Udyr         45.13%    195
    KSante       44.35%    938
    Gwen         44.25%    617
    Viego        44.07%    177
    Rammus       43.53%     85
    Rumble       43.30%    358
    Ivern        42.65%     68
    Nidalee      41.67%    168
    Vi           41.44%    111
    Kindred      41.30%     46
    Karthus      40.74%     81
    Rengar       40.00%    125
    Sejuani      39.60%    101
    Khazix       37.04%     54


# Ezreal
                  win%   matches
    Kled         51.09%   2423
    Anivia       50.86%   4139
